           Element              Name           Azimuth              x[m]              y[m]              z[m]
             drift         DBENDEND:        173.847021        -10.674238        173.300734         -0.000000
             drift         DBENDEND:        173.986721        -10.695699        173.438775         -0.000000
          thinQuad            BENDQ:        173.986721        -10.695699        173.438775         -0.000000
             sbend             BEND:        180.108104        -11.660656        179.483624         -0.000000
          thinQuad            BENDQ:        180.108104        -11.660656        179.483624         -0.000000
             drift         DBENDEND:        180.247804        -11.683238        179.621486         -0.000000
            marker     MF16:cellmark        180.247804        -11.683238        179.621486         -0.000000
             drift           DBPMIN:        180.508459        -11.725371        179.878714         -0.000000
          vmonitor          VBPMF16:        180.508459        -11.725371        179.878714         -0.000000
             drift          DBPMOUT:        180.708484        -11.757704        180.076108         -0.000000
        quadrupole           HQUADD:        182.387424        -12.029094        181.732969         -0.000000
             drift            DQOUT:        182.559204        -12.056861        181.902489         -0.000000
             drift          DPACKIN:        182.702079        -12.079956        182.043486         -0.000000
        quadrupole            TQDE2:        183.464079        -12.203129        182.795465         -0.000000
     thinSextupole              TSD:        183.464079        -12.203129        182.795465         -0.000000
             vkick            VDF16:        183.464079        -12.203129        182.795465         -0.000000
             drift         DPACKU2D:        183.870479        -12.268821        183.196520         -0.000000
            marker    CS2F1AM:fdsext        183.870479        -12.268821        183.196520         -0.000000
             drift         DPACKOUT:        184.388004        -12.352476        183.707239         -0.000000
             drift         DBENDEND:        184.527704        -12.375057        183.845102         -0.000000
          thinQuad            BENDQ:        184.527704        -12.375057        183.845102         -0.000000
             sbend             BEND:        190.649087        -13.389053        189.881918         -0.000000
          thinQuad            BENDQ:        190.649087        -13.389053        189.881918         -0.000000
             drift         DBENDEND:        190.788787        -13.412753        190.019593         -0.000000
             drift         DBENDEND:        190.928487        -13.436453        190.157268         -0.000000
          thinQuad            BENDQ:        190.928487        -13.436453        190.157268         -0.000000
             sbend             BEND:        197.049870        -14.499420        196.185653         -0.000000
          thinQuad            BENDQ:        197.049870        -14.499420        196.185653         -0.000000
             drift         DBENDEND:        197.189570        -14.524237        196.323132         -0.000000
             drift         DBENDEND:        197.329270        -14.549053        196.460610         -0.000000
          thinQuad            BENDQ:        197.329270        -14.549053        196.460610         -0.000000
             sbend             BEND:        203.450653        -15.660922        202.480168         -0.000000
          thinQuad            BENDQ:        203.450653        -15.660922        202.480168         -0.000000
             drift         DBENDEND:        203.590353        -15.686854        202.617440         -0.000000
             drift         DBENDEND:        203.730053        -15.712786        202.754712         -0.000000
          thinQuad            BENDQ:        203.730053        -15.712786        202.754712         -0.000000
             sbend             BEND:        209.851437        -16.873484        208.765046         -0.000000
          thinQuad            BENDQ:        209.851437        -16.873484        208.765046         -0.000000
             drift         DBENDEND:        209.991137        -16.900529        208.902103         -0.000000
            marker     MF17:cellmark        209.991137        -16.900529        208.902103         -0.000000
             drift           DBPMIN:        210.251792        -16.950991        209.157826         -0.000000
          hmonitor          HBPMF17:        210.251792        -16.950991        209.157826         -0.000000
             drift          DBPMOUT:        210.451817        -16.989716        209.354067         -0.000000
        quadrupole           HQUADF:        212.130757        -17.314754        211.001244         -0.000000
             drift            DQOUT:        212.302537        -17.348010        211.169774         -0.000000
             drift          DPACKIN:        212.445412        -17.375670        211.309946         -0.000000
        quadrupole            TQFF3:        213.207412        -17.523191        212.057529         -0.000000
     thinSextupole              TSF:        213.207412        -17.523191        212.057529         -0.000000
             hkick            HDF17:        213.207412        -17.523191        212.057529         -0.000000
             drift         DPACKU2D:        213.613812        -17.601869        212.456241         -0.000000
            marker              TSQ:        213.613812        -17.601869        212.456241         -0.000000
            marker           TOF39S:        213.613812        -17.601869        212.456241         -0.000000
             drift         DPACKOUT:        214.131337        -17.702060        212.963975         -0.000000
             drift           DCOLD1:        214.432962        -17.760454        213.259893         -0.000000
             drift             DGV2:        214.537737        -17.780738        213.362686         -0.000000
             drift            DIONP:        214.810787        -17.833600        213.630570         -0.000000
             drift           DBELL7:        214.985412        -17.867407        213.801892         -0.000000
             drift       DR2COLLEND:        215.073612        -17.884482        213.888423         -0.000000
            marker MF171UHCL:colmark        215.073612        -17.884482        213.888423         -0.000000
            marker MF171UVCL:colmark        215.073612        -17.884482        213.888423         -0.000000
             drift         DR2COLL2:        215.823612        -18.029680        214.624234         -0.000000
            marker   F171HCL:colmark        215.823612        -18.029680        214.624234         -0.000000
            marker   F171VCL:colmark        215.823612        -18.029680        214.624234         -0.000000
             drift         DR2COLL2:        216.573612        -18.174878        215.360045         -0.000000
            marker MF171DHCL:colmark        216.573612        -18.174878        215.360045         -0.000000
            marker MF171DVCL:colmark        216.573612        -18.174878        215.360045         -0.000000
             drift       DR2COLLEND:        216.661812        -18.191953        215.446576         -0.000000
             drift           DBELL7:        216.836437        -18.225760        215.617897         -0.000000
             drift       DR2COLLEND:        216.924637        -18.242836        215.704429         -0.000000
            marker MF172UHCL:colmark        216.924637        -18.242836        215.704429         -0.000000
            marker MF172UVCL:colmark        216.924637        -18.242836        215.704429         -0.000000
             drift         DR2COLL2:        217.674637        -18.388034        216.440239         -0.000000
            marker   F172HCL:colmark        217.674637        -18.388034        216.440239         -0.000000
            marker   F172VCL:colmark        217.674637        -18.388034        216.440239         -0.000000
             drift         DR2COLL2:        218.424637        -18.533232        217.176050         -0.000000
            marker MF172DHCL:colmark        218.424637        -18.533232        217.176050         -0.000000
            marker MF172DVCL:colmark        218.424637        -18.533232        217.176050         -0.000000
             drift       DR2COLLEND:        218.512837        -18.550307        217.262582         -0.000000
             drift           DBELL7:        218.687462        -18.584114        217.433903         -0.000000
             drift          DF17SP1:        219.046238        -18.653572        217.785891         -0.000000
             drift           DPINJK:        220.259088        -18.888376        218.975795         -0.000000
             drift           DPINJK:        221.471938        -19.123181        220.165700         -0.000000
             drift           DPINJK:        222.684788        -19.357985        221.355604         -0.000000
             drift           DPINJK:        223.897638        -19.592790        222.545508         -0.000000
             drift           DPINJK:        225.110488        -19.827594        223.735412         -0.000000
             drift           DBELL7:        225.285113        -19.861401        223.906733         -0.000000
             drift        DR2TARGSE:        225.374925        -19.878788        223.994847         -0.000000
            marker   F173HCL:colmark        225.374925        -19.878788        223.994847         -0.000000
            marker   F173VCL:colmark        225.374925        -19.878788        223.994847         -0.000000
            marker  MF173HCL:colmark        225.374925        -19.878788        223.994847         -0.000000
            marker  MF173VCL:colmark        225.374925        -19.878788        223.994847         -0.000000
             drift        DR2TARGLE:        225.532763        -19.909345        224.149698         -0.000000
             drift           DBELL7:        225.707388        -19.943152        224.321019         -0.000000
             drift            DIONP:        225.980438        -19.996014        224.588904         -0.000000
             drift             DGV2:        226.085213        -20.016298        224.691696         -0.000000
             drift           DCOLD2:        226.513838        -20.099279        225.112212         -0.000000
             drift         DBENDEND:        226.653538        -20.126324        225.249269         -0.000000
          thinQuad            BENDQ:        226.653538        -20.126324        225.249269         -0.000000
             sbend             BEND:        232.774921        -21.335773        231.249983         -0.000000
          thinQuad            BENDQ:        232.774921        -21.335773        231.249983         -0.000000
             drift         DBENDEND:        232.914621        -21.363931        231.386816         -0.000000
             drift         DBENDEND:        233.054321        -21.392088        231.523649         -0.000000
          thinQuad            BENDQ:        233.054321        -21.392088        231.523649         -0.000000
             sbend             BEND:        239.175704        -22.650209        237.514347         -0.000000
          thinQuad            BENDQ:        239.175704        -22.650209        237.514347         -0.000000
             drift         DBENDEND:        239.315404        -22.679476        237.650947         -0.000000
             drift           MEDSTR:        239.734504        -22.767278        238.060746         -0.000000
            marker     MF18:cellmark        239.734504        -22.767278        238.060746         -0.000000
             drift           DBPMIN:        239.995159        -22.821885        238.315617         -0.000000
          vmonitor          VBPMF18:        239.995159        -22.821885        238.315617         -0.000000
             drift          DBPMOUT:        240.195184        -22.863790        238.511203         -0.000000
        quadrupole           HQUADD:        241.874124        -23.215527        240.152886         -0.000000
             drift            DQOUT:        242.045904        -23.251515        240.320854         -0.000000
             drift          DPACKIN:        242.188779        -23.281447        240.460558         -0.000000
        quadrupole            TQDF4:        242.950779        -23.441086        241.205648         -0.000000
     thinSextupole              TSD:        242.950779        -23.441086        241.205648         -0.000000
             vkick            VDF18:        242.950779        -23.441086        241.205648         -0.000000
             drift         DPACKU2D:        243.357179        -23.526226        241.603030         -0.000000
            marker              TS3:        243.357179        -23.526226        241.603030         -0.000000
             drift         DPACKOUT:        243.874704        -23.634647        242.109070         -0.000000
             drift         DBENDEND:        244.014404        -23.663915        242.245670         -0.000000
          thinQuad            BENDQ:        244.014404        -23.663915        242.245670         -0.000000
             sbend             BEND:        250.135787        -24.970625        248.225958         -0.000000
          thinQuad            BENDQ:        250.135787        -24.970625        248.225958         -0.000000
             drift         DBENDEND:        250.275487        -25.001000        248.362315         -0.000000
             drift         DBENDEND:        250.415187        -25.031375        248.498673         -0.000000
          thinQuad            BENDQ:        250.415187        -25.031375        248.498673         -0.000000
             sbend             BEND:        256.536570        -26.386589        254.468156         -0.000000
          thinQuad            BENDQ:        256.536570        -26.386589        254.468156         -0.000000
             drift         DBENDEND:        256.676270        -26.418070        254.604263         -0.000000
             drift         DBENDEND:        256.815970        -26.449551        254.740370         -0.000000
          thinQuad            BENDQ:        256.815970        -26.449551        254.740370         -0.000000
             sbend             BEND:        262.937354        -27.853179        260.698655         -0.000000
          thinQuad            BENDQ:        262.937354        -27.853179        260.698655         -0.000000
             drift         DBENDEND:        263.077054        -27.885764        260.834501         -0.000000
             drift         DBENDEND:        263.216754        -27.918349        260.970348         -0.000000
          thinQuad            BENDQ:        263.216754        -27.918349        260.970348         -0.000000
             sbend             BEND:        269.338137        -29.370298        266.917043         -0.000000
          thinQuad            BENDQ:        269.338137        -29.370298        266.917043         -0.000000
             drift         DBENDEND:        269.477837        -29.403985        267.052620         -0.000000
            marker     MF19:cellmark        269.477837        -29.403985        267.052620         -0.000000
             drift           DBPMIN:        269.738492        -29.466838        267.305584         -0.000000
          hmonitor          HBPMF19:        269.738492        -29.466838        267.305584         -0.000000
             drift          DBPMOUT:        269.938517        -29.515070        267.499706         -0.000000
        quadrupole           HQUADF:        271.617457        -29.919920        269.129104         -0.000000
             drift            DQOUT:        271.789237        -29.961342        269.295815         -0.000000
             drift          DPACKIN:        271.932112        -29.995794        269.434474         -0.000000
        quadrupole            TQFF3:        272.694112        -30.179538        270.173989         -0.000000
     thinSextupole              TSF:        272.694112        -30.179538        270.173989         -0.000000
             hkick            HDF19:        272.694112        -30.179538        270.173989         -0.000000
             drift         DPACKU2D:        273.100512        -30.277535        270.568397         -0.000000
            marker           TOD39S:        273.100512        -30.277535        270.568397         -0.000000
            marker    CS1F2AP:fdsext        273.100512        -30.277535        270.568397         -0.000000
             drift         DPACKOUT:        273.618037        -30.402328        271.070650         -0.000000
             drift         DBENDEND:        273.757737        -30.436015        271.206228         -0.000000
          thinQuad            BENDQ:        273.757737        -30.436015        271.206228         -0.000000
             sbend             BEND:        279.879120        -31.936190        277.140940         -0.000000
          thinQuad            BENDQ:        279.879120        -31.936190        277.140940         -0.000000
             drift         DBENDEND:        280.018820        -31.970976        277.276240         -0.000000
             drift         DBENDEND:        280.158520        -32.005762        277.411540         -0.000000
          thinQuad            BENDQ:        280.158520        -32.005762        277.411540         -0.000000
             sbend             BEND:        286.279903        -33.554064        283.333878         -0.000000
          thinQuad            BENDQ:        286.279903        -33.554064        283.333878         -0.000000
             drift         DBENDEND:        286.419603        -33.589947        283.468891         -0.000000
             drift         DBENDEND:        286.559303        -33.625830        283.603904         -0.000000
          thinQuad            BENDQ:        286.559303        -33.625830        283.603904         -0.000000
             sbend             BEND:        292.680686        -35.222157        289.513479         -0.000000
          thinQuad            BENDQ:        292.680686        -35.222157        289.513479         -0.000000
             drift         DBENDEND:        292.820386        -35.259135        289.648196         -0.000000
             drift         DBENDEND:        292.960086        -35.296113        289.782913         -0.000000
          thinQuad            BENDQ:        292.960086        -35.296113        289.782913         -0.000000
